"","people_id","name","session","party_id","party","role_id","role","district","NBillsCosponsored","NBillsPrimary","MeanPos","MedianPos","GOP","DEM","IND","Female","LittleLeader","BigLeader"
"WPSA.L.78.27",12094,"Richard Carrillo",78,1,"D",1,"Rep","HD-018",74,8,7.35135135135135,8,0,1,0,0,0,0
"WPSA.L.79.21",12094,"Richard Carrillo",79,1,"D",1,"Rep","HD-018",74,10,7.68918918918919,5,0,1,0,0,0,0
"WPSA.L.80.18",12094,"Richard Carrillo",80,1,"D",1,"Rep","HD-018",68,9,5.27941176470588,4,0,1,0,0,0,0
"WPSA.L.77.40",12095,"Randy Kirner",77,2,"R",1,"Rep","HD-026",94,10,12.2765957446809,9.5,1,0,0,0,1,0
"WPSA.L.78.28",12095,"Randy Kirner",78,2,"R",1,"Rep","HD-026",43,9,9.04651162790698,7,1,0,0,0,0,0
"WPSA.L.77.41",12097,"Lucy Flores",77,1,"D",1,"Rep","HD-028",49,9,11.4285714285714,7,0,1,0,1,1,0
"WPSA.L.77.42",12199,"John Ellison",77,2,"R",1,"Rep","HD-033",116,12,7.39655172413793,4,1,0,0,0,0,0
"WPSA.L.78.29",12199,"John Ellison",78,2,"R",1,"Rep","HD-033",73,10,5.97260273972603,5,1,0,0,0,1,1
"WPSA.L.79.22",12199,"John Ellison",79,2,"R",1,"Rep","HD-033",44,11,8.27272727272727,4.5,1,0,0,0,1,0
"WPSA.L.80.19",12199,"John Ellison",80,2,"R",1,"Rep","HD-033",60,9,4.81666666666667,3,1,0,0,0,1,0
"WPSA.L.81.13",12199,"John Ellison",81,2,"R",1,"Rep","HD-033",48,10,6.70833333333333,4.5,1,0,0,0,0,0
"WPSA.L.77.43",12200,"Ira Hansen",77,2,"R",1,"Rep","HD-032",80,11,10.55,8,1,0,0,0,0,0
"WPSA.L.78.30",12200,"Ira Hansen",78,2,"R",1,"Rep","HD-032",36,12,6.61111111111111,4,1,0,0,0,1,0
"WPSA.L.79.23",12200,"Ira Hansen",79,2,"R",1,"Rep","HD-032",26,9,12.9230769230769,8.5,1,0,0,0,0,0
"WPSA.L.80.20",12200,"Ira Hansen",80,2,"R",2,"Sen","SD-014",44,8,8.11363636363636,4,1,0,0,0,0,0
"WPSA.L.81.14",12200,"Ira Hansen",81,2,"R",2,"Sen","SD-014",38,3,7.13157894736842,5.5,1,0,0,0,0,0
"WPSA.L.82.8",12200,"Ira Hansen",82,2,"R",2,"Sen","SD-014",75,13,5.25333333333333,4,1,0,0,0,0,0
"WPSA.L.77.44",12202,"Jason Frierson",77,1,"D",1,"Rep","HD-008",71,6,10.4366197183099,7,0,1,0,0,1,0
"WPSA.L.78.31",12202,"Jason Frierson",78,1,"D",1,"Rep","HD-008",1,0,7,7,0,1,0,0,0,0
"WPSA.L.79.24",12202,"Jason Frierson",79,1,"D",1,"Rep","HD-008",82,26,7,3,0,1,0,0,1,1
"WPSA.L.80.21",12202,"Jason Frierson",80,1,"D",1,"Rep","HD-008",57,25,4.63157894736842,2,0,1,0,0,1,1
"WPSA.L.81.15",12202,"Jason Frierson",81,1,"D",1,"Rep","HD-008",38,23,4.89473684210526,1,0,1,0,0,1,1
"WPSA.L.82.9",12202,"Jason Frierson",82,1,"D",1,"Rep","HD-008",1,0,3,3,0,1,0,0,0,0
"WPSA.L.77.45",12203,"Richard Daly",77,1,"D",1,"Rep","HD-031",59,13,9.30508474576271,7,0,1,0,0,0,0
"WPSA.L.78.32",12203,"Richard Daly",78,1,"D",1,"Rep","HD-031",3,2,1.66666666666667,1,0,1,0,0,0,0
"WPSA.L.79.25",12203,"Richard Daly",79,1,"D",1,"Rep","HD-031",44,6,10.7272727272727,10,0,1,0,0,0,0
"WPSA.L.80.22",12203,"Richard Daly",80,1,"D",1,"Rep","HD-031",42,11,6.38095238095238,5,0,1,0,0,0,0
"WPSA.L.82.10",12203,"Richard Daly",82,1,"D",2,"Sen","SD-013",74,13,4.9054054054054,4,0,1,0,0,0,0
"WPSA.L.77.46",12204,"Olivia Diaz",77,1,"D",1,"Rep","HD-011",57,6,9.49122807017544,7,0,1,0,1,1,0
"WPSA.L.78.33",12204,"Olivia Diaz",78,1,"D",1,"Rep","HD-011",64,6,6.671875,5,0,1,0,1,0,0
"WPSA.L.79.26",12204,"Olivia Diaz",79,1,"D",1,"Rep","HD-011",60,7,9.68333333333333,7,0,1,0,1,0,0
"WPSA.L.80.23",12204,"Olivia Diaz",80,1,"D",1,"Rep","HD-011",7,1,6.71428571428571,5,0,1,0,1,0,0
"WPSA.L.77.47",12205,"Patrick Hickey",77,2,"R",1,"Rep","HD-025",125,12,8.048,5,1,0,0,0,1,0
