"","people_id","name","session","party_id","party","role_id","role","district","NBillsCosponsored","NBillsPrimary","MeanPos","MedianPos","MeanNormPos","MedianNormPos","GOP","DEM","IND","Female","LittleLeader","BigLeader"
"WPSA.L.78.12",8506,"Maggie Carlton",78,1,"D",1,"Rep","HD-014",41,3,8.78048780487805,8,0.537156888902583,0.5,0,1,0,1,1,0
"WPSA.L.79.11",8506,"Maggie Carlton",79,1,"D",1,"Rep","HD-014",49,7,9.28571428571429,9,0.512431179019849,0.454545454545455,0,1,0,1,0,0
"WPSA.L.80.9",8506,"Maggie Carlton",80,1,"D",1,"Rep","HD-014",36,6,5.55555555555556,4,0.433323331290811,0.361111111111111,0,1,0,1,0,0
"WPSA.L.81.8",8506,"Maggie Carlton",81,1,"D",1,"Rep","HD-014",21,3,9.38095238095238,8,0.45849952341933,0.4,0,1,0,1,0,0
"WPSA.L.77.20",8508,"Ruben Kihuen",77,1,"D",2,"Sen","SD-010",86,10,11.3720930232558,7,0.578459040308524,0.583333333333333,0,1,0,0,1,1
"WPSA.L.78.13",8508,"Ruben Kihuen",78,1,"D",2,"Sen","SD-010",105,8,8.4952380952381,5,0.50552805942704,0.444444444444444,0,1,0,0,1,1
"WPSA.L.77.21",8510,"Richard Segerblom",77,1,"D",2,"Sen","SD-003",34,1,20.2352941176471,15.5,0.887491811530183,0.921538461538462,0,1,0,0,0,0
"WPSA.L.78.14",8510,"Richard Segerblom",78,1,"D",2,"Sen","SD-003",81,23,9.11111111111111,6,0.714957726243889,0.80952380952381,0,1,0,0,0,0
"WPSA.L.79.12",8510,"Richard Segerblom",79,1,"D",2,"Sen","SD-003",146,22,8.26027397260274,4,0.64770095089921,0.785714285714286,0,1,0,0,0,0
"WPSA.L.80.10",8510,"Richard Segerblom",80,1,"D",2,"Sen","SD-003",5,0,8.8,7,0.623670715249663,0.583333333333333,0,1,0,0,0,0
"WPSA.L.77.22",8511,"Peggy Pierce",77,1,"D",1,"Rep","HD-003",63,3,17.6349206349206,13,0.746118767230534,0.769230769230769,0,1,0,1,1,0
"WPSA.L.78.15",8511,"Peggy Pierce",78,1,"D",1,"Rep","HD-003",1,0,9,9,0.818181818181818,0.818181818181818,0,1,0,1,0,0
"WPSA.L.77.23",8512,"Don Gustavson",77,2,"R",2,"Sen","SD-014",103,16,10.2038834951456,7,0.554944822807165,0.5,1,0,0,0,0,0
"WPSA.L.78.16",8512,"Don Gustavson",78,2,"R",2,"Sen","SD-014",80,18,8.875,5.5,0.626514500697322,0.666666666666667,1,0,0,0,0,0
"WPSA.L.79.13",8512,"Don Gustavson",79,2,"R",2,"Sen","SD-014",48,7,9.33333333333333,4,0.527710922951492,0.5,1,0,0,0,0,0
"WPSA.L.77.24",8513,"Ellen Spiegel",77,1,"D",1,"Rep","HD-020",59,6,19.0338983050847,17,0.715833472957049,0.777777777777778,0,1,0,1,0,0
"WPSA.L.78.17",8513,"Ellen Spiegel",78,1,"D",1,"Rep","HD-020",50,6,14.12,12.5,0.667941380990127,0.701970443349754,0,1,0,1,0,0
"WPSA.L.79.14",8513,"Ellen Spiegel",79,1,"D",1,"Rep","HD-020",55,11,15.4,9,0.699318121206539,0.846153846153846,0,1,0,1,1,0
"WPSA.L.80.11",8513,"Ellen Spiegel",80,1,"D",1,"Rep","HD-020",50,10,9.04,5.5,0.663446904721295,0.734615384615385,0,1,0,1,0,0
"WPSA.L.77.25",8514,"Paul Aizley",77,1,"D",1,"Rep","HD-041",67,10,6.53731343283582,5,0.406037749181011,0.333333333333333,0,1,0,0,1,1
"WPSA.L.78.18",8514,"Paul Aizley",78,1,"D",1,"Rep","HD-041",3,1,5.66666666666667,2,0.498015873015873,0.333333333333333,0,1,0,0,0,0
"WPSA.L.77.26",8515,"Kelvin Atkinson",77,1,"D",2,"Sen","SD-004",81,9,9.32098765432099,5,0.504126804694059,0.5,0,1,0,0,0,0
"WPSA.L.78.19",8515,"Kelvin Atkinson",78,1,"D",2,"Sen","SD-004",100,7,7.57,5,0.551984214147531,0.6,0,1,0,0,1,1
"WPSA.L.79.15",8515,"Kelvin Atkinson",79,1,"D",2,"Sen","SD-004",78,11,6.93589743589744,5,0.42206153056359,0.4,0,1,0,0,1,0
"WPSA.L.80.12",8515,"Kelvin Atkinson",80,1,"D",2,"Sen","SD-004",18,5,5,3.5,0.502451098284432,0.5,0,1,0,0,0,0
"WPSA.L.77.27",8516,"David Bobzien",77,1,"D",1,"Rep","HD-024",86,14,6.56976744186047,4,0.431434558903507,0.325757575757576,0,1,0,0,1,1
"WPSA.L.78.20",8516,"David Bobzien",78,1,"D",1,"Rep","HD-024",4,1,2.25,2.5,0.456574675324675,0.350649350649351,0,1,0,0,0,0
"WPSA.L.77.28",8518,"Pete Goicoechea",77,2,"R",2,"Sen","SD-019",100,14,9.17,6,0.53323983681946,0.456845238095238,1,0,0,0,0,0
"WPSA.L.78.21",8518,"Pete Goicoechea",78,2,"R",2,"Sen","SD-019",61,12,8.13114754098361,5,0.645660794142529,0.7,1,0,0,0,0,0
"WPSA.L.79.16",8518,"Pete Goicoechea",79,2,"R",2,"Sen","SD-019",58,12,8.25862068965517,6,0.561532390317446,0.55050505050505,1,0,0,0,0,0
"WPSA.L.80.13",8518,"Pete Goicoechea",80,2,"R",2,"Sen","SD-019",52,14,5.61538461538461,3,0.579626260231326,0.5,1,0,0,0,0,0
"WPSA.L.81.9",8518,"Pete Goicoechea",81,2,"R",2,"Sen","SD-019",54,10,5.77777777777778,4,0.59060516804194,0.563492063492063,1,0,0,0,0,0
"WPSA.L.82.6",8518,"Pete Goicoechea",82,2,"R",2,"Sen","SD-019",71,14,4.8169014084507,3,0.507066752991031,0.5,1,0,0,0,0,0
"WPSA.L.77.29",8519,"Harvey Munford",77,1,"D",1,"Rep","HD-006",83,13,14.3493975903614,11,0.672524760050289,0.738095238095238,0,1,0,0,0,0
"WPSA.L.78.22",8519,"Harvey Munford",78,1,"D",1,"Rep","HD-006",48,8,13.0833333333333,12,0.617859385126699,0.615131578947368,0,1,0,0,0,0
"WPSA.L.77.30",8525,"Joyce Woodhouse",77,1,"D",2,"Sen","SD-005",85,10,14.8941176470588,11,0.617116046574979,0.612903225806452,0,1,0,1,0,0
"WPSA.L.78.23",8525,"Joyce Woodhouse",78,1,"D",2,"Sen","SD-005",104,15,8.27884615384615,4,0.561775685784716,0.566964285714286,0,1,0,1,0,0
"WPSA.L.79.17",8525,"Joyce Woodhouse",79,1,"D",2,"Sen","SD-005",121,22,10.099173553719,8,0.661394770069807,0.727272727272727,0,1,0,1,1,1
"WPSA.L.80.14",8525,"Joyce Woodhouse",80,1,"D",2,"Sen","SD-005",110,25,7.28181818181818,6,0.745829613845135,1,0,1,0,1,1,0
"WPSA.L.81.10",8525,"Joyce Woodhouse",81,1,"D",2,"Sen","SD-005",1,0,4,4,0.333333333333333,0.333333333333333,0,1,0,1,0,0
"WPSA.L.77.31",8540,"Steven Horsford",77,1,"D",2,"Sen","SD-004",4,2,5.25,4,0.635416666666667,0.6875,0,1,0,0,0,0
"WPSA.L.77.32",8542,"Michael Schneider",77,1,"D",2,"Sen","SD-011",1,0,8,8,1,1,0,1,0,0,0,0
"WPSA.L.77.33",8557,"Barbara Cegavske",77,2,"R",2,"Sen","SD-008",86,23,7.77906976744186,3,0.469671024570339,0.427083333333333,1,0,0,1,0,0
"WPSA.L.77.34",8563,"David Parks",77,1,"D",2,"Sen","SD-007",109,20,10.348623853211,5,0.603905422133407,0.6,0,1,0,0,1,1
"WPSA.L.78.24",8563,"David Parks",78,1,"D",2,"Sen","SD-007",113,18,6.70796460176991,4,0.480632478717809,0.454545454545455,0,1,0,0,0,0
"WPSA.L.79.18",8563,"David Parks",79,1,"D",2,"Sen","SD-007",134,21,7.95522388059702,5,0.515367696701625,0.451388888888889,0,1,0,0,0,0
"WPSA.L.80.15",8563,"David Parks",80,1,"D",2,"Sen","SD-007",130,26,4.83846153846154,3,0.557006436861033,0.5,0,1,0,0,0,0
"WPSA.L.81.11",8563,"David Parks",81,1,"D",2,"Sen","SD-007",1,0,5,5,0.416666666666667,0.416666666666667,0,1,0,0,0,0
"WPSA.L.77.35",8566,"Allison Copening",77,1,"D",2,"Sen","SD-006",1,1,1,1,1,1,0,1,0,1,0,0
"WPSA.L.77.36",8570,"Elliot Anderson",77,1,"D",1,"Rep","HD-015",72,7,6.59722222222222,4,0.389251727562199,0.295833333333333,0,1,0,0,0,0
"WPSA.L.78.25",8570,"Elliot Anderson",78,1,"D",1,"Rep","HD-015",60,10,5.96666666666667,5,0.433204494044125,0.375,0,1,0,0,0,0
"WPSA.L.79.19",8570,"Elliot Anderson",79,1,"D",1,"Rep","HD-015",27,9,5.96296296296296,2,0.484530775211779,0.365079365079365,0,1,0,0,0,0
"WPSA.L.80.16",8570,"Elliot Anderson",80,1,"D",1,"Rep","HD-015",3,1,3.33333333333333,3,0.293589743589744,0.230769230769231,0,1,0,0,0,0
"WPSA.L.77.37",12092,"Pete Livermore",77,2,"R",1,"Rep","HD-040",110,11,12.2909090909091,9,0.663670753797495,0.695238095238095,1,0,0,0,0,0
"WPSA.L.77.38",12093,"Ben Kieckhefer",77,2,"R",2,"Sen","SD-016",71,16,12.0281690140845,9,0.652938758199362,0.714285714285714,1,0,0,0,1,0
"WPSA.L.78.26",12093,"Ben Kieckhefer",78,2,"R",2,"Sen","SD-016",46,18,7.34782608695652,2,0.727790009708763,0.837301587301587,1,0,0,0,1,0
"WPSA.L.79.20",12093,"Ben Kieckhefer",79,2,"R",2,"Sen","SD-016",47,11,10.2127659574468,4,0.585861644522607,0.571428571428571,1,0,0,0,1,0
"WPSA.L.80.17",12093,"Ben Kieckhefer",80,2,"R",2,"Sen","SD-016",50,14,7.1,4.5,0.702559848011068,0.720779220779221,1,0,0,0,0,0
"WPSA.L.81.12",12093,"Ben Kieckhefer",81,2,"R",2,"Sen","SD-016",55,14,7.10909090909091,6,0.754179645563045,0.833333333333333,1,0,0,0,0,0
"WPSA.L.82.7",12093,"Ben Kieckhefer",82,2,"R",2,"Sen","SD-016",1,0,17,17,0.944444444444444,0.944444444444444,1,0,0,0,0,0
